label,tweet
positif,"['buni', 'yani', 'ingat', 'dubes', 'inggris', 'lgbt', 'haram', 'sakit', 'kibar', 'bendera', 'pelangi']"
negatif,"['orang', 'komunis', 'pro', 'lgbtagama', 'halal', 'lgbt']"
positif,"['fantesa', 'pi', 'kaum', 'kasih', 'ruang', 'ad']"
negatif,"['manusia', 'superior', 'lo', 'ciri', 'sekian', 'lgbt', 'arogan']"
positif,"['suka', 'sikap', 'dukung', 'aji', 'bubar']"
positif,"['now', 'temu', 'warga', 'indonesia', 'dengar', 'tent']"
negatif,"['lbgt', 'gender', 'lgbt', 'prilaku', 'simpang', 'sakit', 'org', 'sakit', 'bs', 'disem']"
negatif,"['sikap', 'elit', 'pbnu', 'getol', 'bela', 'kaum', 'sodom', 'lgbt', 'bukti', 'ormas', 'tsb', 'suram', 'membusukpantas', 'gerah']"
positif,"['ku', 'highlight', 'tweet', 'kamu', 'botak', 'smart', 'people', 'kambing', 'hitam']"
negatif,"['yunianto', 'rangkai', 'dukadulu', 'takut', 'jaga', 'anak', 'prempuan', 'takut', 'jaga', 'anak', 'lakitulisan', 'ani']"
negatif,"['mn', 'bukti', 'kl', 'bnr', 'bela', 'lgbt', 'tuduh', 'media', 'abal', 'brkwalitas', 'gtu', 'kliatan', 'pinter']"
positif,"['grant', 'tokoh', 'agama', 'vonis', 'lgbt', 'adl', 'sakit', 'tular', 'ajar', 'psikologi', 'ranah', 'agama', 'mem']"
negatif,"['menko', 'polhukam', 'mahfud', 'md', 'lgbt', 'pidana', 'masuk', 'rkuhp', 'rkuhp', 'kat']"
positif,"['omong', 'kaya', 'hak', 'hak', 'bathil', 'bathil', 'pahit', 'rasa']"
negatif,"['susah', 'bicara', 'lgbt', 'nyata', 'adil', 'orang']"
positif,"['cemilan', 'lgbt']"
negatif,"['dlm', 'islam', 'lgbt', 'buat', 'laknat', 'allah', 'terima', 'azab', 'pedih', 'dunia', 'akhirat']"
negatif,"['dukung', 'pidana', 'lgbt']"
positif,"['rekomendasi', 'kemeja', 'retro', 'sista', 'nggak', 'kek', 'firaun']"
positif,"['kacau', 'portal', 'online', 'ajar', 'tulis', 'berita', 'cuit', 'nadir', 'bentur', 'nyata', 'hrs']"
negatif,"['porn', 'lgbt', 'cebol', 'berani', 'nongol', 'ditampol', 'khusus', 'oposisi', 'salfol']"
positif,"['toko', 'nu', 'jual', 'lgbt']"
negatif,"['kaum', 'lgbt', 'predator', 'normal', 'buru', 'sebayank', 'mugkin', 'manusia', 'bareng', 'nyembah', 'iblis', 'masuk', 'neraka']"
positif,"['lgbt', 'undang', 'bencana', 'alam', 'bencana', 'alam', 'peduli', 'lingkung']"
positif,"['gue', 'maksanya', 'btw', 'gue', 'hidup', 'damping']"
negatif,"['ente', 'sumut', 'rang', 'tu', 'lgbt', 'situ', 'cuman', 'koar', 'kerja', 'nyepil', 'gitu', 'bilang', 'buzzerp']"
negatif,"['off', 'ukhty', 'ri', 'mati', 'cair', 'cuan', 'komunitas', 'lgbt', 'dar', 'nanya']"
positif,"['saat', 'normal', 'kucil', 'jauh', 'keluarga', 'kaum', 'lgbt', 'kamu', 'ria']"
positif,"['lgbt', 'qi']"
negatif,"['surga', 'buron', 'korupsi', 'indonesia', 'singapore', 'surga', 'lgbt', 'negara', 'broker', 'miskin', 'sda', 'deret']"
positif,"['bela', 'dukung', 'kaum', 'lgbt', 'pidana', 'laku', 'jahat', 'lgbtnya', 'ngomong', 'pidana']"
positif,"['cinta', 'inggris', 'bangga', 'lgbt', 'brengos', 'tua', 'sok', 'sok', 'komentar']"
positif,"['pejaten', 'ketua', 'ri', 'mati', 'mic', 'rapat', 'bahas', 'lgbt', 'bukan', 'sial', 'suami']"
negatif,"['bela', 'lgbtga', 'perangkat', 'hukum', 'jerat', 'lgbt', 'hukum', 'agama']"
negatif,"['dirs', 'pelintir', 'cuit', 'manusia', 'judul', 'berita', 'laku', 'lgbt', 'bentur', 'ce']"
negatif,"['yess', 'ane', 'out', 'lgbt', 'harga', 'mati', 'tentang', 'kasih', 'ruang']"
negatif,"['kibar', 'bendera', 'satu', 'tukang', 'zina', 'konyol']"
negatif,"['bela', 'lgbtga', 'lom', 'perangkat', 'hukum', 'jerat', 'lgbt', 'hukum']"
negatif,"['sakit', 'lgbt', 'loe', 'pake', 'argumen', 'balik', 'orang', 'sehat', 'tular', 'kesel']"
negatif,"['lgbt', 'takdir', 'sam', 'brodie', 'lambat', 'usia', 'samuel', 'david', 'alexander', 'brodie']"
negatif,"['viralin', 'isu', 'buzzerp', 'radikal', 'radikul', 'lgbt', 'periode', 'kriminalisasi', 'ulama', 'adu', 'domba', 'rakyat', 'anis', 'dst', 'dst', 'dst']"
negatif,"['silah', 'rakyat', 'catat', 'partai', 'politis', 'pro', 'kaum', 'sodom', 'lawan', 'norma', 'agama', 'pancasila', 'tenggelamken']"
negatif,"['panggung', 'sat', 'set', 'sat', 'set', 'lapor', 'ras', 'ruhut', 'eh', 'tau', 'bela', 'lgbt']"
positif,"['indonesia', 'legal', 'lgbt']"
negatif,"['tagar', 'lgbt', 'biar', 'tumbuh', 'masyarakat', 'mari', 'dukung', 'perintah', 'tetap']"
negatif,"['dubes', 'inggris', 'kibar', 'bendera', 'lgbt', 'lbh', 'pelita', 'umat', 'lancang']"
negatif,"['qatar', 'tolak', 'keras', 'world', 'cup', 'susup', 'pesan', 'lgbtkeren']"
positif,"['as', 'tokoh', 'nu', 'masyarakat', 'hormat', 'lgbt', 'manusia', 'dosa', 'urus', 'allah', 'oposisi', 'cerdas']"
positif,"['lgbt', 'ranah', 'privat', 'nggak', 'diurusin', 'urusin', 'promosi']"
negatif,"['kaum', 'lgbt', 'predator', 'normal', 'buru', 'manusia', 'bareng', 'nyembah', 'iblis', 'masuk', 'neraka']"
negatif,"['sampe', 'monyet', 'betelor', 'statement', 'disambungin']"
negatif,"['bela', 'lgbt', 'skrg', 'matiin', 'mic', 'besok', 'anak', 'paksa', 'ikut', 'didik', 'seks', 'versi', 'paksa']"
positif,"['dirs', 'pelintir', 'cuit', 'manusia', 'judul', 'berita', 'laku', 'lgbt', 'bentur', 'cepat']"
positif,"['pejaten', 'ketua', 'ri', 'mati', 'mic', 'rapat', 'bahas', 'lgbtbukan', 'sial', 'suami']"
negatif,"['perilaku', 'simpang', 'seksual', 'lgbt', 'propaganda', 'kian', 'resah', 'ancam', 'generasi', 'muda', 'pandang']"
positif,"['heran', 'mana', 'akal', 'sehat', 'cek', 'fakta', 'cuit', 'gus', 'nadir']"
negatif,"['lgbt', 'watanzania', 'karibu', 'wote', 'hawazijui', 'hata', 'zinamaanisha', 'nini']"
negatif,"['faktor', 'orang', 'lgbt', 'ngerasain', 'beda', 'ngeklaim', 'gender', 'dysphoria']"
negatif,"['lgbt', 'takdir', 'sam', 'brodietak', 'lambat', 'usia', 'samuel', 'david', 'alexander', 'brodie', 'sam']"
negatif,"['haloo', 'warga', 'nahdliyin', 'lurus', 'sampe', 'anak', 'cucu']"
negatif,"['konsep', 'islam', 'ttg', 'lgbt', 'islam', 'haram', 'lgbt', 'dr', 'fitrah', 'pria', 'wanita', 'shg', 'lgbt', 'hrs', 'dilrg', 'mungkar', 'agr']"
positif,"['sindir', 'bela', 'lgbt', 'nicho', 'silalahi', 'gilir', 'tanah', 'rakyat', 'rampas', 'muncung', 'diam']"
negatif,"['tagar', 'lgbt', 'biar', 'tumbuh', 'masyarakatmari', 'dukung', 'perintah', 'tetap']"
negatif,"['alam', 'pribadi', 'laku', 'kutuk', 'lgbt', 'thd', 'makasar', 'thn', 'pulang']"
positif,"['publik', 'majemuk', 'tahun', 'akrab', 'tradisi', 'lgbt', 'pakai', 'istilah']"
negatif,"['ofmagadh', 'phir', 'shuru', 'inka', 'lgbt']"
positif,"['gus', 'nadir', 'lgbt', 'bawa', 'roh', 'suci', 'allah', 'rentet', 'peristiwa', 'nyata', 'tengah', 'deddy', 'undang']"
positif,"['bandingin', 'orang', 'gilang', 'kntdd', 'lgbt', 'mikir', 'makan']"
negatif,"['dubes', 'inggris', 'ngambekkan', 'negara', 'ri', 'daulat', 'negara', 'minggu']"
negatif,"['following', 'kurang', 'beneran', 'cari', 'panggung', 'dpt', 'panggung', 'ruhut', 'eh', 'dukung', 'lgbt']"
positif,"['bamukmin', 'gegabah', 'heineken', 'sponsorship', 'dunia']"
negatif,"['maaf', 'bang', 'orang', 'muslim', 'agama', 'lgbt', 'larang']"
negatif,"['muslim', 'tolak', 'nama', 'lgbttapi']"
positif,"['dirs', 'gus', 'bela', 'kaum', 'lgbt', 'guskami', 'mohoncuma', 'nu', 'satu', 'harap', 'kaum', 'lgbt', 'naung']"
positif,"['dirs', 'pelintir', 'cuit', 'manusia', 'judul', 'berita', 'laku', 'lgbt']"
negatif,"['anggota', 'dewan', 'singgung', 'lgbt', 'rapat', 'paripurna', 'puan', 'langsung', 'mati', 'mic']"
positif,"['serah', 'lgbt', 'dosa', 'simpang', 'salah', 'apa']"
negatif,"['halah', 'bokefer', 'dukung', 'lgbt', 'kumurkumur', 'norak', 'lu', 'son']"
negatif,"['budayawan', 'muhammadiyah', 'umat', 'islam', 'wajib', 'lawan', 'lgbt', 'umat', 'islam', 'wajib', 'buka', 'lawan', 'lesbian', 'gay', 'biseksual', 'transgender']"
negatif,"['kanjengraden', 'formula', 'sponsor', 'bir', 'lgbt', 'daerah', 'kadrun', 'padang', 'bogor', 'perkosa', 'massal', 'santri', 'gabener', 'peluk']"
positif,"['bangga', 'lgbt', 'orang', 'indonesia']"
negatif,"['surga', 'buron', 'korupsi', 'indonesia', 'singapura', 'surga', 'lgbt', 'negara', 'broker', 'miskin', 'sda']"
negatif,"['moga', 'anak', 'turun', 'elu', 'lgbt', 'perilaku', 'lgbt', 'aamiin']"
negatif,"['help', 'like', 'penuh', 'tugas', 'ak', 'nulis', 'judul', 'lgbt', 'negeri', 'adat', 'jg', 'bahas', 'lgbt']"
negatif,"['pejaten', 'ketua', 'ri', 'mati', 'mic', 'rapat', 'bahas', 'lgbt']"
negatif,"['lu', 'betina', 'jantan', 'enak', 'gua', 'panggil', 'lihat', 'wajah', 'lu', 'kayak', 'lgbt', 'betina', 'jantan']"
negatif,"['sumpah', 'nama', 'allah', 'orang', 'kafir', 'musyrik', 'sumpah', 'allah']"
negatif,"['okok', 'henti', 'debat', 'ngeyel', 'vonis', 'stroke', 'lgbt', 'vonis', 'hivims', 'langsung']"
negatif,"['walah', 'logika', 'ni', 'bahas', 'lgbt', 'vs', 'babi', 'alkohol', 'pake', 'standar', 'apel', 'to', 'apel', 'babi', 'alkohol']"
negatif,"['udah', 'ngomong', 'rakyat', 'lawan', 'ketidakadilan']"
negatif,"['masak', 'dpr', 'kalah', 'tekan', 'lsm']"
negatif,"['fifa', 'jadi', 'nadir', 'sbagai', 'negosiator', 'urus', 'lgbt', 'urus', 'tuhan']"
positif,"['langsung', 'web', 'boskuh', 'bonus', 'garansi', 'potong']"
negatif,"['nneve', 'untung', 'mui', 'muhamadiyah', 'keras', 'mnentang', 'kesah', 'lgbt', 'indonesia']"
negatif,"['lgbt', 'bkn', 'kriminal', 'enak', 'udel', 'bawabawa', 'penjara', 'urus', 'tuhantrendingnya', 'jelek', 'hadeh', 'negara', 'wakanda']"
positif,"['orang', 'korupsi', 'bilang', 'wajar', 'heran', 'lgbt', 'napas', 'doang', 'masuk', 'penjara', 'aowwkwowk', 'kocak', 'gemingg']"
negatif,"['istri', 'nabi', 'luth', 'azab', 'allah', 'laku', 'dukung', 'buat', 'lgbt']"
positif,"['help', 'like', 'penuh', 'tugas', 'ak', 'nulis', 'judul', 'lgbt', 'negeri', 'adat', 'ak', 'jg', 'bahas']"
positif,"['ngakak', 'liat', 'lgbt', 'trending', 'kirain', 'koar', 'lgbt', 'pidanain', 'ngabruttt']"
positif,"['lgbt', 'kriminal', 'atur', 'penjara', 'lgbt', 'for', 'no', 'reason', 'just', 'because']"
positif,"['dirs', 'pelintir', 'cuit', 'csetiap', 'manusia', 'judul', 'berita', 'bentur']"
positif,"['lgbt', 'umur', 'hidup', 'tapa', 'salur', 'hasrat', 'seksual', 'bbrp', 'bocah']"
positif,"['best', 'seller', 'inone', 'wireless', 'bluetooth', 'headset', 'with', 'mic', 'kst', 'for', 'music', 'year', 'official', 'warranty', 'rp']"
negatif,"['niih', 'bani', 'tusbol', 'lgbt', 'kaum', 'dukung']"
negatif,"['dirs', 'pelintir', 'cuit', 'manusia', 'judul', 'berita', 'bentur']"
negatif,"['panggil', 'pake', 'gas', 'gus', 'gas', 'gus', 'lgbt', 'narkoba', 'candu', 'rusak', 'termasu']"
negatif,"['ttg', 'lgbt', 'buru', 'matiin', 'micjangannaaasssuu', 'dah']"
negatif,"['media', 'muat', 'lgbt']"
negatif,"['heryanto', 'tulis', 'tulis']"
negatif,"['macau', 'mei']"
negatif,"['thn', 'hrs', 'dlm', 'ceramah', 'sebut', 'lgbt', 'hina', 'hewan', 'ayam', 'akal', 'ayam']"
positif,"['penuh', 'tugas', 'ak', 'nulis', 'judul', 'lgbt', 'negeri', 'adat', 'ak', 'jg', 'bahas', 'ken']"
negatif,"['mari', 'dukung', 'tetap', 'rkuhp', 'atur', 'hukum', 'pidana', 'laku', 'lgbt']"
negatif,"['calon', 'plecidenkenapa', 'laku', 'bgini', 'dukun']"
positif,"['diwakanda', 'ormas', 'ngaku', 'islam', 'tp', 'swmua', 'larang', 'islam', 'dukung', 'ulama', 'islam', 'dihinaka']"
positif,"['ak', 'nu', 'cabang', 'lgbtia']"
negatif,"['respons', 'mahfud', 'komisi', 'iii', 'dpr', 'pasti', 'lgbtzina', 'masuk', 'draf', 'rkuhp']"
negatif,"['dirs', 'pelintir', 'tp', 'sikap', 'and', 'akan', 'bela', 'lgbt', 'pancing', 'orang', 'gerah', 'buat', 'demik']"
negatif,"['eh', 'lgbt', 'ngaruh', 'ntar', 'lgbt', 'populasi', 'manusia', 'bumi', 'punah', 'bagus', 'loe', 'orang']"
positif,"['kacau', 'portal', 'online', 'ajar', 'tulis', 'berita', 'cuit', 'nadir', 'bentur', 'nyata', 'hrs', 'ce']"
positif,"['covid', 'tuduh', 'dalang', 'beliau', 'skrang', 'cacar', 'monyet', 'jg', 'bilang', 'dalang', 'beliau', 'jgsuruh', 'wh']"
negatif,"['id', 'budayawan', 'muhammadiyah', 'umat', 'islam', 'wajib', 'lawanlgbt']"
negatif,"['ngotot', 'bener', 'bela', 'lgbt', 'elu', 'pikir', 'elu', 'nongol', 'dunia', 'dr', 'ortu', 'lgbt']"
negatif,"['sin', 'is', 'sin', 'dosa', 'lgbt', 'dosa', 'dosa']"
negatif,"['marm', 'nabi', 'kutuk', 'lgbt', 'eh', 'lu', 'agus', 'nyuruh', 'hormat', 'lgbt', 'pala', 'lo', 'bauk', 'agus']"
negatif,"['dirs', 'pelintir', 'cuit', 'csetiap', 'manusia', 'judul', 'berita', 'laku', 'lgbt', 'bentur', 'ce']"
positif,"['mati', 'mbak', 'anggota', 'dewan', 'singgung', 'lgbt', 'rapat', 'paripurna', 'mbak', 'sue']"
positif,"['gera', 'lgbt', 'indonesia', 'proyek', 'dunia', 'kelola', 'badan', 'khususinternasional']"
negatif,"['kaum', 'lgbt', 'predator', 'normal', 'mrk', 'buru', 'sebyk', 'mgkn', 'manusia', 'bareng', 'nyembah', 'iblis', 'msk', 'neraka']"
negatif,"['pejaten', 'lgbt', 'lesbian', 'gay', 'bisexsual', 'transgender', 'sakit', 'laknat', 'rasulullah', 'shalallahu', 'alaihi', 'wasallam', 'bers']"
negatif,"['udah', 'negara', 'antilgbt', 'deddy', 'ngundang', 'pasang', 'gay', 'kontroversial', 'lu', 'pindah', 'negara', 'kek', 'beli', 'kacang']"
positif,"['tuju', 'komentar', 'lgbt', 'retweet', 'gus', 'nadir']"
negatif,"['lgbt', 'matiin', 'mic', 'gimana', 'bela', 'nasib', 'muslim', 'indonesia', 'tutup', 'pintu', 'kantor', 'dpr']"
negatif,"['marm', 'nabi', 'kutuk', 'lgbt', 'eh', 'lu', 'agus', 'nyuruh', 'hormat', 'lgbt', 'pala', 'lo', 'baukagus']"
negatif,"['lgbt', 'takdirsam', 'brodie', 'lambat', 'usia', 'samuel', 'david', 'alexander', 'brodie', 'sam']"
negatif,"['bcd', 'chattan', 'lgbt', 'bt', 'ajg', 'astagfirullah', 'gitu']"
positif,"['help', 'like', 'penuh', 'tugas', 'ak', 'nulis', 'judul', 'lgbt', 'negeri', 'adat', 'ak', 'jg', 'bahas', 'ken']"
negatif,"['perilaku', 'lgbt', 'perspektif', 'hukum', 'indonesiaa', 'thread']"
negatif,"['anyingg', 'trending', 'lgbt']"
negatif,"['dlm', 'islam', 'lgbt', 'perbuatanyg', 'laknat', 'allah', 'terima', 'azab', 'pedih', 'dunia', 'akhirat', 'agama']"
negatif,"['curhat', 'amin', 'ak', 'mik', 'mati', 'puan', 'suara', 'bahaya', 'lgbt', 'tuju', 'pidana']"
negatif,"['yunianto', 'percaya', 'laku', 'lgbt', 'bahagiakebahagiaan', 'semu', 'kejar', 'ujung', 'derita']"
negatif,"['maaf', 'abang', 'bela', 'lgbt', 'sya', 'abang', 'anak', 'abang', 'jdi', 'lgbt', 'lgbt', 'sakit', 'bang']"
negatif,"['opm', 'jlas', 'troris', 'kga', 'total', 'lu', 'lawan', 'disbut', 'sodara', 'tag', 'semarang', 'ganjar', 'pranowo', 'monyet', 'kalong', 'puan', 'sodom']"
negatif,"['kaya', 'giat', 'medsos', 'tebar', 'teror', 'anggap', 'teroris', 'isi', 'tulis', 'penafsiranya', 'kaya']"
negatif,"['bgn', 'dr', 'lgbtapaanda', 'senang', 'klau', 'klg', 'nikmat', 'lobang', 'taiapakah', 'bangga', 'dukung', 'penikma']"
negatif,"['dlm', 'cipta', 'ruh', 'allah', 'hembus', 'asma', 'allah', 'rosulnya', 'ruh', 'dah', 'brojol', 'emang', 'ruh']"
negatif,"['pejaten', 'lurah', 'istana', 'spesies', 'lgbt', 'bongdrun', 'selebtwit', 'nyaterutama', 'kaum', 'bodoh', 'gratis', 'cebong', 'bis']"
positif,"['lgbt', 'bincang', 'hangat', 'bukti', 'trendingnya', 'lgbt']"
negatif,"['pelintir', 'cuit', 'manusia', 'judul', 'berita', 'laku', 'lgbt', 'bentur', 'ce']"
negatif,"['ukhty', 'mati', 'cair', 'cuan', 'komunitas', 'lgbt', 'dar', 'nanya']"
positif,"['bugis', 'sperti', 'lgbt', 'pikir', 'casing', 'sperti', 'tp', 'buat']"
negatif,"['buat', 'laknat', 'loe', 'doang', 'kena', 'imbas', 'nga']"
negatif,"['mulut', 'sampah', 'bisa', 'kritik', 'kerja', 'berseberanganmau', 'nonton', 'kaum', 'simpang', 'alias', 'lgbt']"
negatif,"['lgbt', 'jangkit', 'level', 'tengah', 'atascoba', 'berani', 'ketua', 'dprri', 'foto', 'publik']"
negatif,"['kaum', 'bong', 'spesies', 'lgbt', 'kumpul', 'kuningan', 'iniada', 'aming', 'tokoh', 'lgbt', 'bicara', 'hak']"
positif,"['lgbt', 'biar', 'tumbuh', 'masyarakatmari', 'dukung', 'perintah', 'tetap']"
negatif,"['bang', 'yos', 'manusia', 'intelijen', 'pikir', 'prediksi', 'buruk', 'datangjadi', 'bener', 'bang', 'yos', 'waspada']"
positif,"['bhineka', 'tunggal', 'ika', 'beda', 'beda', 'lgbt', 'mana', 'beda', 'orang', 'suka', 'paksa']"
negatif,"['jambret', 'udah', 'dapet', 'hukum', 'masuk', 'benar']"
negatif,"['denger', 'denger', 'matiin', 'mic', 'pas', 'bahas', 'sanksi', 'lgbt', 'kah']"
negatif,"['agama', 'islam', 'gerogot', 'syiah', 'yahudi', 'susup', 'nu']"
positif,"['orang', 'komunis', 'pro', 'lgbt', 'agama', 'halal', 'lgbt']"
positif,"['kaum', 'kasih', 'ruang', 'adil']"
negatif,"['suka', 'sikap']"
negatif,"['lgbt', 'gender', 'lgbt', 'perilaku', 'simpang', 'sakit', 'org', 'sakit', 'bs', 'sembuh']"
positif,"['ku', 'highlight', 'tweetmu', 'botak', 'smart', 'pipel', 'dikambinghitamkan']"
positif,"['konon', 'uas', 'urus', 'konon', 'bendera', 'lgbt', 'urus', 'gilir', 'bendera', 'tauhid', 'urus', 'desember', 'urus']"
positif,"['beli', 'ticket', 'pesawat', 'afganistan', 'ntar', 'sewain', 'pesawat', 'hotel', 'akomodasi']"
positif,"['rangkai', 'duka', 'takut', 'jaga', 'anak', 'prempuan', 'takut', 'jaga', 'anak', 'laki', 'tulis', 'dr', 'ani']"
positif,"['tokoh', 'agama', 'vonis', 'lgbt', 'adl', 'sakit', 'tular', 'ajar', 'psikologi', 'ranah', 'agama', 'mem']"
positif,"['ngomong', 'kaya']"
negatif,"['mati', 'cair', 'cuan', 'komunitas', 'lgbt', 'dari', 'tanya']"
negatif,"['susah', 'ngomong', 'lgbt', 'nyata', 'adil', 'orang']"
negatif,"['dlm', 'islam', 'lgbt', 'buat', 'laknat', 'allah', 'terima', 'azab', 'pedih', 'dunia', 'akhirat']"
negatif,"['dukung', 'pidana', 'lgbt']"
positif,"['rekomendasi', 'kemeja', 'retro', 'sista', 'nggak', 'kek', 'firaun']"
positif,"['kacau', 'portal', 'online', 'ajar', 'tulis', 'berita', 'cuit', 'nadir', 'bentur', 'nyata', 'hrs']"
negatif,"['porn', 'lgbt', 'cebol', 'berani', 'nongol', 'ditampol', 'khusus', 'oposisi', 'salfol']"
positif,"['toko', 'nu', 'jual', 'lgbt']"
negatif,"['kaum', 'lgbt', 'predator', 'normal', 'buru', 'sebayank', 'mugkin', 'manusia', 'bareng', 'nyembah', 'iblis', 'masuk', 'neraka']"
positif,"['lgbt', 'undang', 'bencana', 'alam', 'bencana', 'alam', 'peduli', 'lingkung']"
positif,"['gue', 'maksanya', 'btw', 'gue', 'hidup', 'damping']"
negatif,"['ente', 'sumut', 'rang', 'tu', 'lgbt', 'situ', 'cuman', 'koar', 'kerja', 'nyepil', 'gitu', 'bilang', 'buzzerp']"
negatif,"['mulut', 'sampah', 'bisa', 'kritik', 'kerja', 'berangan', 'nonton', 'kaum', 'simpang', 'alias', 'lgbt']"
negatif,"['off', 'ukhty', 'ri', 'mati', 'cair', 'cuan', 'komunitas', 'lgbt', 'dar', 'nanya']"
positif,"['heran', 'lgbt', 'indonesia', 'banyak', 'munafik', 'juang', 'hak']"
positif,"['fyi', 'lgbt', 'tindak', 'pidana']"
positif,"['saat', 'normal', 'mengucilkanmenjauhkan', 'keluarga', 'kaum', 'lgbt', 'ente', 'ria']"
negatif,"['bendera', 'tauhid', 'antum', 'bakar', 'bendera', 'lgbt', 'antum', 'kibar', 'benar', 'antum', 'salah', 'batil', 'antum', 'bela']"
negatif,"['qatar', 'haram', 'lgbt', 'piala', 'dunia', 'tukar', 'agama', 'turnamen']"
positif,"['lgbt', 'qi']"
negatif,"['surga', 'buron', 'korupsi', 'indonesia', 'singapore', 'surga', 'lgbt', 'negara', 'broker', 'miskin', 'sda', 'deret']"
positif,"['bela', 'dukung', 'kaum', 'lgbt', 'pidana', 'laku', 'jahat', 'lgbtnya', 'ngomong', 'pidana']"
positif,"['cinta', 'inggris', 'bangga', 'lgbt', 'brengos', 'tua', 'sok', 'sok', 'komentar']"
negatif,"['bahaya', 'lgbt']"
positif,"['pejaten', 'ketua', 'ri', 'mati', 'mic', 'rapat', 'bahas', 'lgbtbukan', 'sial', 'suami']"
negatif,"['bela', 'lgbtga', 'perangkat', 'hukum', 'jerat', 'lgbt', 'hukum', 'agama']"
negatif,"['dirs', 'pelintir', 'cuit', 'manusia', 'judul', 'berita', 'laku', 'lgbt', 'bentur', 'ce']"
negatif,"['yess', 'ane', 'out', 'lgbt', 'harga', 'mati', 'tentang', 'kasih', 'ruang']"
negatif,"['organisasi', 'sehat', 'dunia', 'who', 'ingat', 'sakit', 'cacar', 'monyet', 'monkeypox', 'lonjak']"
positif,"['hipokrit', 'sikap', 'poligami', 'tentang', 'cadar', 'larang', 'hak', 'sifat']"
negatif,"['dirs', 'pelintir', 'cuit', 'manusia', 'judul', 'berita', 'laku', 'lgbt', 'bentur']"
negatif,"['silalahi', 'gilir', 'lgbt', 'lantang', 'suara', 'hormat', 'hak', 'gilir', 'tanah', 'rakyat', 'rampas', 'upah', 'murah']"
negatif,"['pro', 'lgbt', 'buang', 'jurang', 'dalam']"
negatif,"['kibar', 'bendera', 'satu', 'tukang', 'zina', 'konyol']"
negatif,"['bela', 'lgbtga', 'lom', 'perangkat', 'hukum', 'jerat', 'lgbt', 'hukum']"
negatif,"['sakit', 'lgbt', 'loe', 'pake', 'argumen', 'balik', 'orang', 'sehat', 'tular', 'kesel']"
negatif,"['lgbt', 'takdir', 'sam', 'brodie', 'lambat', 'usia', 'samuel', 'david', 'alexander', 'brodie']"
negatif,"['bima', 'kader', 'muhammadiyah', 'sindir', 'tum', 'pbnu', 'bendera', 'lgbt', 'urus', 'gilir', 'bendera', 'tauhid', 'urus']"
