,tweet,tweet_tokens,tweet_tokens_WSW,tweet_tokens_stemmed
116,trendingnya jelek bgt lgbt bkn kriminal seenak udel bawabawa penjara itu urusannya sama tuhan hadeh negara wakanda,"['trendingnya', 'jelek', 'bgt', 'lgbt', 'bkn', 'kriminal', 'seenak', 'udel', 'bawabawa', 'penjara', 'itu', 'urusannya', 'sama', 'tuhan', 'hadeh', 'negara', 'wakanda']","['trendingnya', 'jelek', 'lgbt', 'bkn', 'kriminal', 'seenak', 'udel', 'bawabawa', 'penjara', 'urusannya', 'tuhan', 'hadeh', 'negara', 'wakanda']","['trendingnya', 'jelek', 'lgbt', 'bkn', 'kriminal', 'enak', 'udel', 'bawabawa', 'penjara', 'urus', 'tuhan', 'hadeh', 'negara', 'wakanda']"
117,orang korupsi dibilang wajar ga heran lah lgbt bernapas doang masuk penjara aowwkwowk kocak gemingg,"['orang', 'korupsi', 'dibilang', 'wajar', 'ga', 'heran', 'lah', 'lgbt', 'bernapas', 'doang', 'masuk', 'penjara', 'aowwkwowk', 'kocak', 'gemingg']","['orang', 'korupsi', 'dibilang', 'wajar', 'heran', 'lgbt', 'bernapas', 'doang', 'masuk', 'penjara', 'aowwkwowk', 'kocak', 'gemingg']","['orang', 'korupsi', 'bilang', 'wajar', 'heran', 'lgbt', 'napas', 'doang', 'masuk', 'penjara', 'aowwkwowk', 'kocak', 'gemingg']"
118,rt istri nabi luth di azab oleh allah bukan karena dia pelaku tapi karena dia mendukung perbuatan lgbtkami telah,"['rt', 'istri', 'nabi', 'luth', 'di', 'azab', 'oleh', 'allah', 'bukan', 'karena', 'dia', 'pelaku', 'tapi', 'karena', 'dia', 'mendukung', 'perbuatan', 'lgbtkami', 'telah']","['istri', 'nabi', 'luth', 'azab', 'allah', 'pelaku', 'mendukung', 'perbuatan', 'lgbtkami']","['istri', 'nabi', 'luth', 'azab', 'allah', 'laku', 'dukung', 'buat', 'lgbtkami']"
119,ngakak bgt liat lgbt trending kirain kenapa ternyata koar minta lgbt di pidanain ngabrutttt,"['ngakak', 'bgt', 'liat', 'lgbt', 'trending', 'kirain', 'kenapa', 'ternyata', 'koar', 'minta', 'lgbt', 'di', 'pidanain', 'ngabrutttt']","['ngakak', 'liat', 'lgbt', 'trending', 'kirain', 'koar', 'lgbt', 'pidanain', 'ngabrutttt']","['ngakak', 'liat', 'lgbt', 'trending', 'kirain', 'koar', 'lgbt', 'pidanain', 'ngabrutttt']"
120,rt stop judging people dengan pemikiran kolot mu it cukup hargai mereka thats it dan beberapa orang bilang lgbt bisa membawa ,"['rt', 'stop', 'judging', 'people', 'dengan', 'pemikiran', 'kolot', 'mu', 'it', 'cukup', 'hargai', 'mereka', 'thats', 'it', 'dan', 'beberapa', 'orang', 'bilang', 'lgbt', 'bisa', 'membawa']","['stop', 'judging', 'people', 'pemikiran', 'kolot', 'mu', 'it', 'hargai', 'thats', 'it', 'orang', 'lgbt', 'membawa']","['stop', 'judging', 'people', 'pikir', 'kolot', 'mu', 'it', 'harga', 'thats', 'it', 'orang', 'lgbt', 'bawa']"
121,rt dan kamu menyatakan menjadi lgbt itu kriminal dan harus ada aturannya kamu mau memenjarakan lgbt for no reason just becaus,"['rt', 'dan', 'kamu', 'menyatakan', 'menjadi', 'lgbt', 'itu', 'kriminal', 'dan', 'harus', 'ada', 'aturannya', 'kamu', 'mau', 'memenjarakan', 'lgbt', 'for', 'no', 'reason', 'just', 'becaus']","['lgbt', 'kriminal', 'aturannya', 'memenjarakan', 'lgbt', 'for', 'no', 'reason', 'just', 'becaus']","['lgbt', 'kriminal', 'atur', 'penjara', 'lgbt', 'for', 'no', 'reason', 'just', 'becaus']"
122,apa bapak ini kira lgbt seumur hidupnya bakal bertapa tanpa menyalurkan hasrat seksualnya bbrp kasus banyak boca,"['apa', 'bapak', 'ini', 'kira', 'lgbt', 'seumur', 'hidupnya', 'bakal', 'bertapa', 'tanpa', 'menyalurkan', 'hasrat', 'seksualnya', 'bbrp', 'kasus', 'banyak', 'boca']","['lgbt', 'seumur', 'hidupnya', 'bertapa', 'menyalurkan', 'hasrat', 'seksualnya', 'bbrp', 'boca']","['lgbt', 'umur', 'hidup', 'tapa', 'salur', 'hasrat', 'seksual', 'bbrp', 'boca']"
123,best seller inone wireless bluetooth headset with mic kst for music year official warrantyrp diskon,"['best', 'seller', 'inone', 'wireless', 'bluetooth', 'headset', 'with', 'mic', 'kst', 'for', 'music', 'year', 'official', 'warrantyrp', 'diskon']","['best', 'seller', 'inone', 'wireless', 'bluetooth', 'headset', 'with', 'mic', 'kst', 'for', 'music', 'year', 'official', 'warrantyrp', 'diskon']","['best', 'seller', 'inone', 'wireless', 'bluetooth', 'headset', 'with', 'mic', 'kst', 'for', 'music', 'year', 'official', 'warrantyrp', 'diskon']"
124,stop judging people dengan pemikiran kolot mu it cukup hargai mereka thats it dan beberapa orang bilang lgbt bisa ,"['stop', 'judging', 'people', 'dengan', 'pemikiran', 'kolot', 'mu', 'it', 'cukup', 'hargai', 'mereka', 'thats', 'it', 'dan', 'beberapa', 'orang', 'bilang', 'lgbt', 'bisa']","['stop', 'judging', 'people', 'pemikiran', 'kolot', 'mu', 'it', 'hargai', 'thats', 'it', 'orang', 'lgbt']","['stop', 'judging', 'people', 'pikir', 'kolot', 'mu', 'it', 'harga', 'thats', 'it', 'orang', 'lgbt']"
125,bangga jadi lgbt,"['bangga', 'jadi', 'lgbt']","['bangga', 'lgbt']","['bangga', 'lgbt']"
126,niih bagi bani tusbol lgbt dan para kaum pendukungnyabacalah,"['niih', 'bagi', 'bani', 'tusbol', 'lgbt', 'dan', 'para', 'kaum', 'pendukungnyabacalah']","['niih', 'bani', 'tusbol', 'lgbt', 'kaum', 'pendukungnyabacalah']","['niih', 'bani', 'tusbol', 'lgbt', 'kaum', 'pendukungnyabacalah']"
127,menurut gw jd lgbt itu sebuah tantangan tantangan dimana kita harus berubah menjadi normal tantangan dimana kita,"['menurut', 'gw', 'jd', 'lgbt', 'itu', 'sebuah', 'tantangan', 'tantangan', 'dimana', 'kita', 'harus', 'berubah', 'menjadi', 'normal', 'tantangan', 'dimana', 'kita']","['gw', 'lgbt', 'tantangan', 'tantangan', 'dimana', 'berubah', 'normal', 'tantangan', 'dimana']","['gw', 'lgbt', 'tantang', 'tantang', 'mana', 'ubah', 'normal', 'tantang', 'mana']"
128,rt yang bela belain kaum sodom itu ya kalau gak gay ya lesbi gak jauh jauh lah dari lgbt apa lagi yang girang melihat kasus ,"['rt', 'yang', 'bela', 'belain', 'kaum', 'sodom', 'itu', 'ya', 'kalau', 'gak', 'gay', 'ya', 'lesbi', 'gak', 'jauh', 'jauh', 'lah', 'dari', 'lgbt', 'apa', 'lagi', 'yang', 'girang', 'melihat', 'kasus']","['bela', 'belain', 'kaum', 'sodom', 'gay', 'lesbi', 'lgbt', 'girang']","['bela', 'bain', 'kaum', 'sodom', 'gay', 'lesbi', 'lgbt', 'girang']"
129,rt panggilan pake gas gus gas gus asal kamu tau lgbt itu sama dengan narkoba kalau sudah kecanduan rusak semua nya termasuk ,"['rt', 'panggilan', 'pake', 'gas', 'gus', 'gas', 'gus', 'asal', 'kamu', 'tau', 'lgbt', 'itu', 'sama', 'dengan', 'narkoba', 'kalau', 'sudah', 'kecanduan', 'rusak', 'semua', 'nya', 'termasuk']","['panggilan', 'pake', 'gas', 'gus', 'gas', 'gus', 'lgbt', 'narkoba', 'kecanduan', 'rusak']","['panggil', 'pake', 'gas', 'gus', 'gas', 'gus', 'lgbt', 'narkoba', 'candu', 'rusak']"
130,pelaku lgbt,"['pelaku', 'lgbt']","['pelaku', 'lgbt']","['laku', 'lgbt']"
131,ada pertanyaan ttg lgbt kok buru matiin micjangan aaasssuu dahlah,"['ada', 'pertanyaan', 'ttg', 'lgbt', 'kok', 'buru', 'matiin', 'micjangan', 'aaasssuu', 'dahlah']","['ttg', 'lgbt', 'buru', 'matiin', 'micjangan', 'aaasssuu', 'dahlah']","['ttg', 'lgbt', 'buru', 'matiin', 'micjangan', 'aaasssuu', 'dah']"
132,jepang meibbfs bb shot,"['jepang', 'meibbfs', 'bb', 'shot']","['jepang', 'meibbfs', 'bb', 'shot']","['jepang', 'meibbfs', 'bb', 'shot']"
133,rt heryanto tulisan tahun lalu jika ditulis sekarang entah apa ada media besar yang mau memuatnya waktu itu lgbt juga tidak,"['rt', 'heryanto', 'tulisan', 'tahun', 'lalu', 'jika', 'ditulis', 'sekarang', 'entah', 'apa', 'ada', 'media', 'besar', 'yang', 'mau', 'memuatnya', 'waktu', 'itu', 'lgbt', 'juga', 'tidak']","['heryanto', 'tulisan', 'ditulis', 'media', 'memuatnya', 'lgbt']","['heryanto', 'tulis', 'tulis', 'media', 'muat', 'lgbt']"
134,rt nkri dikuasai pengkhianat pelanggar pancasila dan uud mereka berusaha menyusupkan liberal ke nkri semacam,"['rt', 'nkri', 'dikuasai', 'pengkhianat', 'pelanggar', 'pancasila', 'dan', 'uud', 'mereka', 'berusaha', 'menyusupkan', 'liberal', 'ke', 'nkri', 'semacam']","['nkri', 'dikuasai', 'pengkhianat', 'pelanggar', 'pancasila', 'uud', 'berusaha', 'menyusupkan', 'liberal', 'nkri']","['nkri', 'asai', 'khianat', 'langgar', 'pancasila', 'uud', 'usaha', 'susup', 'liberal', 'nkri']"
135,pro lgbtislamophobia,"['pro', 'lgbtislamophobia']","['pro', 'lgbtislamophobia']","['pro', 'lgbtislamophobia']"
136,macau  meibbfs bb shot,"['macau', 'meibbfs', 'bb', 'shot']","['macau', 'meibbfs', 'bb', 'shot']","['macau', 'meibbfs', 'bb', 'shot']"
137,dan kamu menyatakan menjadi lgbt itu kriminal dan harus ada aturannya kamu mau memenjarakan lgbt for no reason jus,"['dan', 'kamu', 'menyatakan', 'menjadi', 'lgbt', 'itu', 'kriminal', 'dan', 'harus', 'ada', 'aturannya', 'kamu', 'mau', 'memenjarakan', 'lgbt', 'for', 'no', 'reason', 'jus']","['lgbt', 'kriminal', 'aturannya', 'memenjarakan', 'lgbt', 'for', 'no', 'reason', 'jus']","['lgbt', 'kriminal', 'atur', 'penjara', 'lgbt', 'for', 'no', 'reason', 'jus']"
138,ahong jika saja di negara ini berlaku hukum islam maka perilaku lgbt tak kan berkembang,"['ahong', 'jika', 'saja', 'di', 'negara', 'ini', 'berlaku', 'hukum', 'islam', 'maka', 'perilaku', 'lgbt', 'tak', 'kan', 'berkembang']","['ahong', 'negara', 'berlaku', 'hukum', 'islam', 'perilaku', 'lgbt', 'berkembang']","['ahong', 'negara', 'laku', 'hukum', 'islam', 'perilaku', 'lgbt', 'kembang']"
139,kader muhammadiyah sindir ketum pbnu bendera lgbt bukan urusan kita giliran bendera tauhid diurus,"['kader', 'muhammadiyah', 'sindir', 'ketum', 'pbnu', 'bendera', 'lgbt', 'bukan', 'urusan', 'kita', 'giliran', 'bendera', 'tauhid', 'diurus']","['kader', 'muhammadiyah', 'sindir', 'ketum', 'pbnu', 'bendera', 'lgbt', 'urusan', 'giliran', 'bendera', 'tauhid', 'diurus']","['kader', 'muhammadiyah', 'sindir', 'tum', 'pbnu', 'bendera', 'lgbt', 'urus', 'gilir', 'bendera', 'tauhid', 'urus']"
140,rt pejaten ini bagaimana kaum bong lgbt dan cokro tvkok malah dilaporkan ke polda metro oleh lurah istanakatanya lurah istana dil,"['rt', 'pejaten', 'ini', 'bagaimana', 'kaum', 'bong', 'lgbt', 'dan', 'cokro', 'tvkok', 'malah', 'dilaporkan', 'ke', 'polda', 'metro', 'oleh', 'lurah', 'istanakatanya', 'lurah', 'istana', 'dil']","['pejaten', 'kaum', 'bong', 'lgbt', 'cokro', 'tvkok', 'dilaporkan', 'polda', 'metro', 'lurah', 'istanakatanya', 'lurah', 'istana', 'dil']","['pejaten', 'kaum', 'bong', 'lgbt', 'cokro', 'tvkok', 'lapor', 'polda', 'metro', 'lurah', 'istanakatanya', 'lurah', 'istana', 'dil']"
141,bila indonesia ingin hidup sehat bahagia tidak hiv aids sipilis cacar dukung uu dan revisi kuhp lgbt,"['bila', 'indonesia', 'ingin', 'hidup', 'sehat', 'bahagia', 'tidak', 'hiv', 'aids', 'sipilis', 'cacar', 'dukung', 'uu', 'dan', 'revisi', 'kuhp', 'lgbt']","['indonesia', 'hidup', 'sehat', 'bahagia', 'hiv', 'aids', 'sipilis', 'cacar', 'dukung', 'uu', 'revisi', 'kuhp', 'lgbt']","['indonesia', 'hidup', 'sehat', 'bahagia', 'hiv', 'aids', 'sipil', 'cacar', 'dukung', 'uu', 'revisi', 'kuhp', 'lgbt']"
142,rt pejaten kalian spesies menjijikan lgbt hanya korban halu nya cokro yg mengatakan membongkar lurah istanapantas saja menjadi pem,"['rt', 'pejaten', 'kalian', 'spesies', 'menjijikan', 'lgbt', 'hanya', 'korban', 'halu', 'nya', 'cokro', 'yg', 'mengatakan', 'membongkar', 'lurah', 'istanapantas', 'saja', 'menjadi', 'pem']","['pejaten', 'spesies', 'menjijikan', 'lgbt', 'korban', 'halu', 'cokro', 'membongkar', 'lurah', 'istanapantas', 'pem']","['pejaten', 'spesies', 'jijik', 'lgbt', 'korban', 'halu', 'cokro', 'bongkar', 'lurah', 'istanapantas', 'pem']"
143,pov lu lgi liat org lol lgbt damn nsfw dan lu cuma bisa sarkas dan ngabrut,"['pov', 'lu', 'lgi', 'liat', 'org', 'lol', 'lgbt', 'damn', 'nsfw', 'dan', 'lu', 'cuma', 'bisa', 'sarkas', 'dan', 'ngabrut']","['pov', 'lu', 'lgi', 'liat', 'org', 'lol', 'lgbt', 'damn', 'nsfw', 'lu', 'sarkas', 'ngabrut']","['pov', 'lu', 'lgi', 'liat', 'org', 'lol', 'lgbt', 'damn', 'nsfw', 'lu', 'sarkas', 'ngabrut']"
144,thn hrs dlm ceramahnya menyebut lgbt lebih hina dari hewan ayam yg gak punya akal aja tahu bahwa ayam jago,"['thn', 'hrs', 'dlm', 'ceramahnya', 'menyebut', 'lgbt', 'lebih', 'hina', 'dari', 'hewan', 'ayam', 'yg', 'gak', 'punya', 'akal', 'aja', 'tahu', 'bahwa', 'ayam', 'jago']","['thn', 'hrs', 'dlm', 'ceramahnya', 'menyebut', 'lgbt', 'hina', 'hewan', 'ayam', 'akal', 'ayam', 'jago']","['thn', 'hrs', 'dlm', 'ceramah', 'sebut', 'lgbt', 'hina', 'hewan', 'ayam', 'akal', 'ayam', 'jago']"
145,rt mencari dasar hukum pelarangan lgbt jgn tanya nasi mawut pasti malah tersesat lihat aja dasar ideologi pancasila dari ke,"['rt', 'mencari', 'dasar', 'hukum', 'pelarangan', 'lgbt', 'jgn', 'tanya', 'nasi', 'mawut', 'pasti', 'malah', 'tersesat', 'lihat', 'aja', 'dasar', 'ideologi', 'pancasila', 'dari', 'ke']","['mencari', 'dasar', 'hukum', 'pelarangan', 'lgbt', 'nasi', 'mawut', 'tersesat', 'lihat', 'dasar', 'ideologi', 'pancasila']","['cari', 'dasar', 'hukum', 'larang', 'lgbt', 'nasi', 'mawut', 'sesat', 'lihat', 'dasar', 'ideologi', 'pancasila']"
146,dan anda pendukung lgbt di indonesia,"['dan', 'anda', 'pendukung', 'lgbt', 'di', 'indonesia']","['pendukung', 'lgbt', 'indonesia']","['dukung', 'lgbt', 'indonesia']"
147,rt mari kita dukung penetapan rkuhp yg mengatur hukum pidana pelaku lgbt https,"['rt', 'mari', 'kita', 'dukung', 'penetapan', 'rkuhp', 'yg', 'mengatur', 'hukum', 'pidana', 'pelaku', 'lgbt', 'https']","['mari', 'dukung', 'penetapan', 'rkuhp', 'mengatur', 'hukum', 'pidana', 'pelaku', 'lgbt', 'https']","['mari', 'dukung', 'tetap', 'rkuhp', 'atur', 'hukum', 'pidana', 'laku', 'lgbt', 'https']"
148,rt aku tidak bilang kalau lgbt itu perlu dibenarkan tapi setidaknya hargai keberadaan mereka karena pada dasarnya lgbt itu sud,"['rt', 'aku', 'tidak', 'bilang', 'kalau', 'lgbt', 'itu', 'perlu', 'dibenarkan', 'tapi', 'setidaknya', 'hargai', 'keberadaan', 'mereka', 'karena', 'pada', 'dasarnya', 'lgbt', 'itu', 'sud']","['lgbt', 'dibenarkan', 'hargai', 'keberadaan', 'dasarnya', 'lgbt', 'sud']","['lgbt', 'benar', 'harga', 'ada', 'dasar', 'lgbt', 'sud']"
149,aku tidak bilang kalau lgbt itu perlu dibenarkan tapi setidaknya hargai keberadaan mereka karena pada dasarnya lgbt,"['aku', 'tidak', 'bilang', 'kalau', 'lgbt', 'itu', 'perlu', 'dibenarkan', 'tapi', 'setidaknya', 'hargai', 'keberadaan', 'mereka', 'karena', 'pada', 'dasarnya', 'lgbt']","['lgbt', 'dibenarkan', 'hargai', 'keberadaan', 'dasarnya', 'lgbt']","['lgbt', 'benar', 'harga', 'ada', 'dasar', 'lgbt']"
150,katanya mau jadi calon plecidenkenapa kelakuan ibu ke bginiapa anda pendukun,"['katanya', 'mau', 'jadi', 'calon', 'plecidenkenapa', 'kelakuan', 'ibu', 'ke', 'bginiapa', 'anda', 'pendukun']","['calon', 'plecidenkenapa', 'kelakuan', 'bginiapa', 'pendukun']","['calon', 'plecidenkenapa', 'laku', 'bginiapa', 'dukun']"
151,rt ada muslim yang marah lihat bendera tauhid dikibarkan tapi tak ambil pusing bendera lgbt dinaikkan semoga allah jaga,"['rt', 'ada', 'muslim', 'yang', 'marah', 'lihat', 'bendera', 'tauhid', 'dikibarkan', 'tapi', 'tak', 'ambil', 'pusing', 'bendera', 'lgbt', 'dinaikkan', 'semoga', 'allah', 'jaga']","['muslim', 'marah', 'lihat', 'bendera', 'tauhid', 'dikibarkan', 'ambil', 'pusing', 'bendera', 'lgbt', 'dinaikkan', 'semoga', 'allah', 'jaga']","['muslim', 'marah', 'lihat', 'bendera', 'tauhid', 'kibar', 'ambil', 'pusing', 'bendera', 'lgbt', 'naik', 'moga', 'allah', 'jaga']"
152,lgbt,['lgbt'],['lgbt'],['lgbt']
153, diwakanda ada ormas yg ngaku islam tp swmua yg dilarang islam mereka dukung dan bahkan ulama islam dihinaka,"['diwakanda', 'ada', 'ormas', 'yg', 'ngaku', 'islam', 'tp', 'swmua', 'yg', 'dilarang', 'islam', 'mereka', 'dukung', 'dan', 'bahkan', 'ulama', 'islam', 'dihinaka']","['diwakanda', 'ormas', 'ngaku', 'islam', 'tp', 'swmua', 'dilarang', 'islam', 'dukung', 'ulama', 'islam', 'dihinaka']","['diwakanda', 'ormas', 'ngaku', 'islam', 'tp', 'swmua', 'larang', 'islam', 'dukung', 'ulama', 'islam', 'dihinaka']"
154,gus kemarin sd sh kemana masih hidupkah coba tanyakan apakah meme ini mampu menyegarkan otak harusnya membandi,"['gus', 'kemarin', 'sd', 'sh', 'kemana', 'masih', 'hidupkah', 'coba', 'tanyakan', 'apakah', 'meme', 'ini', 'mampu', 'menyegarkan', 'otak', 'harusnya', 'membandi']","['gus', 'kemarin', 'sd', 'sh', 'kemana', 'hidupkah', 'coba', 'meme', 'menyegarkan', 'otak', 'membandi']","['gus', 'kemarin', 'sd', 'sh', 'mana', 'hidup', 'coba', 'meme', 'segar', 'otak', 'membandi']"
155,inotav ia sangat benertapi ceramah bel,"['inotav', 'ia', 'sangat', 'benertapi', 'ceramah', 'bel']","['inotav', 'benertapi', 'ceramah', 'bel']","['inotav', 'benertapi', 'ceramah', 'bel']"
156,bungo menyandingkan atheis dengan lgbt adalah hal yg aneh hehehe,"['bungo', 'menyandingkan', 'atheis', 'dengan', 'lgbt', 'adalah', 'hal', 'yg', 'aneh', 'hehehe']","['bungo', 'menyandingkan', 'atheis', 'lgbt', 'aneh', 'hehehe']","['bungo', 'sanding', 'atheis', 'lgbt', 'aneh', 'hehehe']"
157,saya tak mencaci maki anda kita hanya berdiskusi kita memang berbeda dalam sudut pandang itu disk,"['saya', 'tak', 'mencaci', 'maki', 'anda', 'kita', 'hanya', 'berdiskusi', 'kita', 'memang', 'berbeda', 'dalam', 'sudut', 'pandang', 'itu', 'disk']","['mencaci', 'maki', 'berdiskusi', 'berbeda', 'sudut', 'pandang', 'disk']","['caci', 'maki', 'diskus', 'beda', 'sudut', 'pandang', 'disk']"
158,ak dia mah nu cabang lgbtia gak sih,"['ak', 'dia', 'mah', 'nu', 'cabang', 'lgbtia', 'gak', 'sih']","['ak', 'nu', 'cabang', 'lgbtia']","['ak', 'nu', 'cabang', 'lgbtia']"
159,kalo kata pihakpihak yang pro terhadap kelompok tersebut sih lgbt itu termasuk hak dan kebebasan seseorang tapi,"['kalo', 'kata', 'pihakpihak', 'yang', 'pro', 'terhadap', 'kelompok', 'tersebut', 'sih', 'lgbt', 'itu', 'termasuk', 'hak', 'dan', 'kebebasan', 'seseorang', 'tapi']","['pihakpihak', 'pro', 'kelompok', 'lgbt', 'hak', 'kebebasan']","['pihakpihak', 'pro', 'kelompok', 'lgbt', 'hak', 'bebas']"
160,jika kita lihat dari segi hukumnya ternyata belum ada aturan khusus yang mengatur lgbt di indonesia kalo kata pak,"['jika', 'kita', 'lihat', 'dari', 'segi', 'hukumnya', 'ternyata', 'belum', 'ada', 'aturan', 'khusus', 'yang', 'mengatur', 'lgbt', 'di', 'indonesia', 'kalo', 'kata', 'pak']","['lihat', 'segi', 'hukumnya', 'aturan', 'khusus', 'mengatur', 'lgbt', 'indonesia']","['lihat', 'segi', 'hukum', 'atur', 'khusus', 'atur', 'lgbt', 'indonesia']"
161,rt bot lgbt adalah penyakit menular,"['rt', 'bot', 'lgbt', 'adalah', 'penyakit', 'menular']","['bot', 'lgbt', 'penyakit', 'menular']","['bot', 'lgbt', 'sakit', 'tular']"
162,rt respons mahfud komisi iii dpr pastikan lgbtzina masuk draf rkuhpyes,"['rt', 'respons', 'mahfud', 'komisi', 'iii', 'dpr', 'pastikan', 'lgbtzina', 'masuk', 'draf', 'rkuhpyes']","['respons', 'mahfud', 'komisi', 'iii', 'dpr', 'pastikan', 'lgbtzina', 'masuk', 'draf', 'rkuhpyes']","['respons', 'mahfud', 'komisi', 'iii', 'dpr', 'pasti', 'lgbtzina', 'masuk', 'draf', 'rkuhpyes']"
163,apani lgbt apani,"['apani', 'lgbt', 'apani']","['apani', 'lgbt', 'apani']","['apani', 'lgbt', 'apani']"
164,rt lahh udah jelas lgbt menyimpang dari ideologi indonesia sila pertama aja jelas ,"['rt', 'lahh', 'udah', 'jelas', 'lgbt', 'menyimpang', 'dari', 'ideologi', 'indonesia', 'sila', 'pertama', 'aja', 'jelas']","['lahh', 'udah', 'lgbt', 'menyimpang', 'ideologi', 'indonesia', 'sila']","['lahh', 'udah', 'lgbt', 'simpang', 'ideologi', 'indonesia', 'sila']"
165,dirs itu memang pelintiran tp sikap and yg seakan akan membela lgbt memancing orang yg gerah utk berbuat demik,"['dirs', 'itu', 'memang', 'pelintiran', 'tp', 'sikap', 'and', 'yg', 'seakan', 'akan', 'membela', 'lgbt', 'memancing', 'orang', 'yg', 'gerah', 'utk', 'berbuat', 'demik']","['dirs', 'pelintiran', 'tp', 'sikap', 'and', 'seakan', 'membela', 'lgbt', 'memancing', 'orang', 'gerah', 'berbuat', 'demik']","['dirs', 'pelintir', 'tp', 'sikap', 'and', 'akan', 'bela', 'lgbt', 'pancing', 'orang', 'gerah', 'buat', 'demik']"
166,nkri dikuasai pengkhianat pelanggar pancasila dan uud mereka berusaha menyusupkan liberal ke nkri,"['nkri', 'dikuasai', 'pengkhianat', 'pelanggar', 'pancasila', 'dan', 'uud', 'mereka', 'berusaha', 'menyusupkan', 'liberal', 'ke', 'nkri']","['nkri', 'dikuasai', 'pengkhianat', 'pelanggar', 'pancasila', 'uud', 'berusaha', 'menyusupkan', 'liberal', 'nkri']","['nkri', 'asai', 'khianat', 'langgar', 'pancasila', 'uud', 'usaha', 'susup', 'liberal', 'nkri']"
167,eh lgbt tuh ngaruh bgt ntar kalau lgbt makin banyak populasi manusia dibumi bisa punah ya bagus lah kan loe oran,"['eh', 'lgbt', 'tuh', 'ngaruh', 'bgt', 'ntar', 'kalau', 'lgbt', 'makin', 'banyak', 'populasi', 'manusia', 'dibumi', 'bisa', 'punah', 'ya', 'bagus', 'lah', 'kan', 'loe', 'oran']","['eh', 'lgbt', 'ngaruh', 'ntar', 'lgbt', 'populasi', 'manusia', 'dibumi', 'punah', 'bagus', 'loe', 'oran']","['eh', 'lgbt', 'ngaruh', 'ntar', 'lgbt', 'populasi', 'manusia', 'bumi', 'punah', 'bagus', 'loe', 'oran']"
168,lgbt lesbian gay biseksual dan transgender yang identik dengan bendera pelangi ini adalah suatu perilaku menyi,"['lgbt', 'lesbian', 'gay', 'biseksual', 'dan', 'transgender', 'yang', 'identik', 'dengan', 'bendera', 'pelangi', 'ini', 'adalah', 'suatu', 'perilaku', 'menyi']","['lgbt', 'lesbian', 'gay', 'biseksual', 'transgender', 'identik', 'bendera', 'pelangi', 'perilaku', 'menyi']","['lgbt', 'lesbian', 'gay', 'biseksual', 'transgender', 'identik', 'bendera', 'pelangi', 'perilaku', 'nyi']"
169,terkait dengan isu di atas saya akan membahas dulu lgbt itu apa sih bagaimana yah perspektif hukum nasional maupun,"['terkait', 'dengan', 'isu', 'di', 'atas', 'saya', 'akan', 'membahas', 'dulu', 'lgbt', 'itu', 'apa', 'sih', 'bagaimana', 'yah', 'perspektif', 'hukum', 'nasional', 'maupun']","['terkait', 'isu', 'membahas', 'lgbt', 'perspektif', 'hukum', 'nasional']","['kait', 'isu', 'bahas', 'lgbt', 'perspektif', 'hukum', 'nasional']"
170,rt gerakan lgbt di indonesia adalah proyek dunia yang dikelola oleh satu badan khusus internasional,"['rt', 'gerakan', 'lgbt', 'di', 'indonesia', 'adalah', 'proyek', 'dunia', 'yang', 'dikelola', 'oleh', 'satu', 'badan', 'khusus', 'internasional']","['gerakan', 'lgbt', 'indonesia', 'proyek', 'dunia', 'dikelola', 'badan', 'khusus', 'internasional']","['gera', 'lgbt', 'indonesia', 'proyek', 'dunia', 'kelola', 'badan', 'khusus', 'internasional']"
171,covid dituduh dalang beliau skrang cacar monyet apa jg dibilang dalang nya beliau jg suruh tuh wh,"['covid', 'dituduh', 'dalang', 'beliau', 'skrang', 'cacar', 'monyet', 'apa', 'jg', 'dibilang', 'dalang', 'nya', 'beliau', 'jg', 'suruh', 'tuh', 'wh']","['covid', 'dituduh', 'dalang', 'beliau', 'skrang', 'cacar', 'monyet', 'jg', 'dibilang', 'dalang', 'beliau', 'jg', 'suruh', 'wh']","['covid', 'tuduh', 'dalang', 'beliau', 'skrang', 'cacar', 'monyet', 'jg', 'bilang', 'dalang', 'beliau', 'jg', 'suruh', 'wh']"
172,ooo manusia yg lagi getol nya membela kaum sodom itulgbt itu sampah peradaban asal klen tau,"['ooo', 'manusia', 'yg', 'lagi', 'getol', 'nya', 'membela', 'kaum', 'sodom', 'itulgbt', 'itu', 'sampah', 'peradaban', 'asal', 'klen', 'tau']","['ooo', 'manusia', 'getol', 'membela', 'kaum', 'sodom', 'itulgbt', 'sampah', 'peradaban', 'klen']","['ooo', 'manusia', 'getol', 'bela', 'kaum', 'sodom', 'itulgbt', 'sampah', 'adab', 'klen']"
173,rt id budayawan muhammadiyah umat islam wajib lawan lgbt,"['rt', 'id', 'budayawan', 'muhammadiyah', 'umat', 'islam', 'wajib', 'lawan', 'lgbt']","['id', 'budayawan', 'muhammadiyah', 'umat', 'islam', 'wajib', 'lawan', 'lgbt']","['id', 'budayawan', 'muhammadiyah', 'umat', 'islam', 'wajib', 'lawan', 'lgbt']"
